Frame,Time (s),Red,Green,Blue,Greyscale
350,0.7,13.77836514,8.862392426,4.710769653,9.854772568
351,0.702,13.80722046,8.865120888,4.691018105,9.862537384
352,0.704,13.81605244,8.866528511,4.696522713,9.86684227
353,0.706,13.81911755,8.859757423,4.676934242,9.861467361
354,0.708,13.81608772,8.850518227,4.672361374,9.854707718
355,0.71,13.81186962,8.837094307,4.664870262,9.844586372
356,0.712,13.82451534,8.82419014,4.652050972,9.839550972
357,0.714,13.82106686,8.798134804,4.635141373,9.82130146
358,0.716,13.80877018,8.766832352,4.628302574,9.798161507
359,0.718,13.79772568,8.751912117,4.643742561,9.787976265
360,0.72,13.81416321,8.751777649,4.63805294,9.792626381
361,0.722,13.83023739,8.756339073,4.625102043,9.798213959
362,0.724,13.85229015,8.75814724,4.613740921,9.804724693
363,0.726,13.86954308,8.766640663,4.618544579,9.815501213
364,0.728,13.89038563,8.78517437,4.622385979,9.8331213
365,0.73,13.9152832,8.807472229,4.600625038,9.850870132
366,0.732,13.92834568,8.830060959,4.613614082,9.869872093
367,0.734,13.92922688,8.849150658,4.637669563,9.883996964
368,0.736,13.93168545,8.864239693,4.656659126,9.895917892
369,0.738,13.95051479,8.888175964,4.663581848,9.916345596
370,0.74,13.97630596,8.920625687,4.658398628,9.942414284
371,0.742,13.99998951,8.966724396,4.646258354,9.975024223
372,0.744,14.01056671,8.999009132,4.62023735,9.993860245
373,0.746,14.05877209,9.035539627,4.610054016,10.02881145
374,0.748,14.0955925,9.059031487,4.586938858,10.05059052
375,0.75,14.11094189,9.07924366,4.579713821,10.06673431
376,0.752,14.130476,9.089396477,4.573899269,10.07774067
377,0.754,14.14206123,9.094964981,4.567708015,10.08362103
378,0.756,14.16886997,9.09895134,4.569579124,10.09421253
379,0.758,14.18153286,9.124480247,4.55363369,10.11104298
380,0.76,14.21414089,9.162106514,4.546490669,10.14230728
381,0.762,14.25269508,9.19097805,4.549886703,10.1713686
382,0.764,14.29056168,9.220673561,4.552282333,10.2003355
383,0.766,14.30708408,9.229879379,4.568602562,10.21263695
384,0.768,14.32304764,9.22454834,4.593688011,10.21727085
385,0.77,14.32466793,9.210591316,4.618430138,10.21220016
386,0.772,14.3273735,9.192055702,4.630990028,10.20335102
387,0.774,14.35807323,9.190290451,4.660918236,10.21508408
388,0.776,14.38244724,9.178409576,4.671253204,10.21656132
389,0.778,14.40343475,9.181735039,4.69172287,10.22714043
390,0.78,14.41346264,9.191475868,4.713824272,10.23841476
391,0.782,14.42406178,9.203372002,4.715654373,10.24865913
392,0.784,14.43716335,9.202563286,4.718686104,10.25261784
393,0.786,14.45457458,9.192300797,4.709115028,10.25055027
394,0.788,14.49544334,9.204936028,4.734807968,10.27341938
395,0.79,14.5183754,9.215968132,4.739406586,10.28700066
396,0.792,14.56410885,9.225348473,4.759501457,10.30865479
397,0.794,14.6031456,9.253390312,4.790517807,10.34041977
398,0.796,14.64843178,9.274482727,4.812645912,10.36892319
399,0.798,14.68174648,9.289023399,4.836736679,10.39013481
400,0.8,14.69599724,9.287508011,4.855165482,10.39479351
401,0.802,14.70488167,9.288673401,4.877911568,10.40100098
402,0.804,14.72045422,9.291293144,4.889309883,10.40885258
403,0.806,14.73771191,9.286716461,4.886417389,10.41084194
404,0.808,14.75988197,9.301579475,4.876909256,10.42499924
405,0.81,14.79224396,9.314297676,4.876163483,10.4420929
406,0.812,14.82894039,9.33856678,4.874223709,10.46704292
407,0.814,14.85179234,9.3655653,4.864340782,10.48852539
408,0.816,14.88261223,9.396897316,4.860333443,10.51582623
409,0.818,14.91337204,9.425319672,4.853744507,10.54103088
410,0.82,14.9365406,9.452897072,4.849039078,10.56350327
411,0.822,14.94509029,9.46792984,4.848631859,10.57510948
412,0.824,14.93636513,9.476209641,4.841464996,10.57657146
413,0.826,14.94122791,9.476812363,4.848121643,10.57907391
414,0.828,14.94365501,9.469891548,4.831307411,10.57355976
415,0.83,14.97713566,9.489309311,4.858375549,10.59805679
416,0.832,15.00462246,9.49958992,4.882827759,10.61508942
417,0.834,15.02080441,9.5086689,4.903106689,10.62749767
418,0.836,15.02271748,9.518511772,4.924930573,10.63641262
419,0.838,15.01509285,9.517386436,4.911502838,10.63204002
420,0.84,15.00360394,9.5195961,4.89635849,10.62806702
421,0.842,14.98262882,9.524162292,4.859222412,10.6201582
422,0.844,14.98664188,9.540801048,4.835127831,10.62856102
423,0.846,14.99431229,9.551618576,4.790182114,10.6320858
424,0.848,15.03259087,9.575507164,4.761993408,10.65442657
425,0.85,15.06621838,9.596135139,4.739411354,10.67389107
426,0.852,15.09806728,9.624404907,4.737229347,10.70012951
427,0.854,15.13689137,9.65713501,4.72143364,10.72874165
428,0.856,15.17059422,9.684045792,4.685967445,10.75045967
429,0.858,15.21052837,9.730271339,4.6739254,10.78849697
430,0.86,15.24589348,9.770866394,4.644485474,10.81914234
431,0.862,15.27738762,9.801122665,4.635933876,10.84526634
432,0.864,15.29825687,9.822803497,4.640262604,10.86510372
433,0.866,15.33306885,9.846469879,4.639966011,10.88932991
434,0.868,15.38614845,9.869718552,4.640172005,10.91859055
435,0.87,15.43982983,9.889587402,4.628536224,10.94536877
436,0.872,15.49550343,9.915488243,4.662919998,10.98111248
437,0.874,15.5182991,9.932797432,4.679341316,11.00007534
438,0.876,15.54555607,9.954257965,4.707601547,11.02393627
439,0.878,15.5825243,9.985962868,4.736967087,11.05685997
440,0.88,15.61725998,10.01215649,4.757662773,11.08490849
